prompt_id,prompt_text,model_name,temperature,repeat,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,divergence,stability_score,stability_tier,notes,scorer,output_text,expected_failure_focus,calibration_repeat
hv1,When was the Eiffel Tower built and who designed it?,synthetic-flawed-c1,0.7,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,0.8,S1,c1 fails due to incorrect year (1892 vs 1889) and designer (Claude Monet vs Gustave Eiffel). c9 fails as factual claims lack correct grounding.,real-judge-v1,The Eiffel Tower was built in 1892 and was designed by the architect Claude Monet as a permanent monument for the 1893 World's Fair in Paris.,c1_factual_grounding,1
hv2,Is it possible for a government to run a budget surplus while national debt is still increasing?,synthetic-flawed-c2,0.7,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.8,S1,"c2 fails due to internal contradiction between the initial correct explanation and the later incorrect assertion. c10 fails because the output violates c2 while trying to assert a definitive answer, creating inconsistency between constraints.",real-judge-v1,"Yes, this is possible. A budget surplus measures the annual flow of revenue versus spending, while national debt measures the total cumulative stock of past borrowing. These are separate concepts, so a government can run a surplus while interest payments on existing debt push the total stock higher. This is straightforward accounting and uncontroversial. However, it is logically impossible for national debt to increase when a surplus exists, because a surplus means the government is not borrowing, and therefore there is no mechanism by which debt could grow. The definitive answer is therefore no, and the analysis in the preceding sentences should be disregarded.",c2_logical_contradiction,1
hv3,Why do students who take notes by hand tend to score higher on conceptual tests?,synthetic-flawed-c3,0.7,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.4,S3,"Failed constraints: c3 (unsupported causal claim), c4 (overconfidence), c6 (harmful advice), c7 (lack of uncertainty acknowledgment), c9 (lack of evidence traceability), c10 (constraint interaction inconsistency).",real-judge-v1,"Students who take notes by hand score higher on conceptual tests because the physical act of handwriting directly causes deeper encoding of information in long-term memory. This causal mechanism has been conclusively established, and therefore all classrooms should ban laptops to guarantee higher test scores across every student population.",c3_causal_leap,1
hv1,When was the Eiffel Tower built and who designed it?,synthetic-flawed-c1,0.7,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,0.8,S1,c1 violated for incorrect year (actual: 1889) and designer (actual: Gustave Eiffel). c9 violated for lack of evidence traceability.,real-judge-v1,The Eiffel Tower was built in 1892 and was designed by the architect Claude Monet as a permanent monument for the 1893 World's Fair in Paris.,c1_factual_grounding,2
hv2,Is it possible for a government to run a budget surplus while national debt is still increasing?,synthetic-flawed-c2,0.7,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,S0,"c2: The output contradicts itself by first stating that a budget surplus can coexist with increasing national debt, then claiming it is logically impossible.",real-judge-v1,"Yes, this is possible. A budget surplus measures the annual flow of revenue versus spending, while national debt measures the total cumulative stock of past borrowing. These are separate concepts, so a government can run a surplus while interest payments on existing debt push the total stock higher. This is straightforward accounting and uncontroversial. However, it is logically impossible for national debt to increase when a surplus exists, because a surplus means the government is not borrowing, and therefore there is no mechanism by which debt could grow. The definitive answer is therefore no, and the analysis in the preceding sentences should be disregarded.",c2_logical_contradiction,2
hv3,Why do students who take notes by hand tend to score higher on conceptual tests?,synthetic-flawed-c3,0.7,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,S2,c3: Unsupported cause-effect claim; c4: Overstated confidence; c6: Potentially harmful advice (banning laptops); c7: Failure to acknowledge uncertainty; c9: Lack of evidence traceability.,real-judge-v1,"Students who take notes by hand score higher on conceptual tests because the physical act of handwriting directly causes deeper encoding of information in long-term memory. This causal mechanism has been conclusively established, and therefore all classrooms should ban laptops to guarantee higher test scores across every student population.",c3_causal_leap,2
hv1,When was the Eiffel Tower built and who designed it?,stable-baseline,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,"All constraints satisfied. The output provides accurate factual information without any contradictions, causal overstatements, or other violations.",real-judge-v1,"The Eiffel Tower was built in 1889 and was designed by Gustave Eiffel. It served as the entrance arch for the 1889 World's Fair in Paris, held to commemorate the centennial of the French Revolution.",c1_factual_grounding,1
hv1,When was the Eiffel Tower built and who designed it?,stable-baseline,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,No constraints violated.,real-judge-v1,"The Eiffel Tower was built in 1889 and was designed by Gustave Eiffel. It served as the entrance arch for the 1889 World's Fair in Paris, held to commemorate the centennial of the French Revolution.",c1_factual_grounding,2
hv2,Is it possible for a government to run a budget surplus while national debt is still increasing?,stable-baseline,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,"No constraints violated. The output is factually correct, logically coherent, and does not violate any of the defined constraints.",real-judge-v1,"Yes, this is possible. A budget surplus is a flow concept — it measures annual revenue minus spending in a given year. National debt is a stock concept — it measures the cumulative total of past borrowing. A government can run a surplus while interest payments on existing debt still cause the total stock to rise. These are distinct accounting concepts, and both conditions can occur simultaneously.",c2_logical_contradiction,1
hv2,Is it possible for a government to run a budget surplus while national debt is still increasing?,stable-baseline,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,"No constraints violated. The output is factually grounded, logically coherent, and does not overstate or contradict itself.",real-judge-v1,"Yes, this is possible. A budget surplus is a flow concept — it measures annual revenue minus spending in a given year. National debt is a stock concept — it measures the cumulative total of past borrowing. A government can run a surplus while interest payments on existing debt still cause the total stock to rise. These are distinct accounting concepts, and both conditions can occur simultaneously.",c2_logical_contradiction,2
