prompt_id,prompt_text,model_name,temperature,repeat,expected_failure_focus,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,divergence,stability_score,stability_tier,notes,scorer,output_text,calibration_repeat
cal01,What is the chemical formula for water and what does it mean?,stable-baseline,0.0,1,c1_factual_grounding,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,No constraints violated.,real-judge-v1,"Water's chemical formula is H₂O. Each molecule consists of two hydrogen atoms covalently bonded to one oxygen atom. The formula describes the molecular composition, not the three-dimensional structure.",1
cal01,What is the chemical formula for water and what does it mean?,calibration-flawed-c1,0.0,1,c1_factual_grounding,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,S0,"c1: The output incorrectly states the chemical formula for water as HO₂ instead of H₂O, which is a concrete external factual error.",real-judge-v1,"Water's chemical formula is HO₂, meaning it contains one hydrogen atom bonded to two oxygen atoms. This arrangement is what gives water its unique liquid properties at room temperature and its ability to dissolve many substances.",1
cal01,What is the chemical formula for water and what does it mean?,stable-baseline,0.0,1,c1_factual_grounding,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,All constraints satisfied; no violations detected.,real-judge-v1,"Water's chemical formula is H₂O. Each molecule consists of two hydrogen atoms covalently bonded to one oxygen atom. The formula describes the molecular composition, not the three-dimensional structure.",2
cal01,What is the chemical formula for water and what does it mean?,calibration-flawed-c1,0.0,1,c1_factual_grounding,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,S0,c1 failed due to incorrect chemical formula for water (HO₂ instead of H₂O).,real-judge-v1,"Water's chemical formula is HO₂, meaning it contains one hydrogen atom bonded to two oxygen atoms. This arrangement is what gives water its unique liquid properties at room temperature and its ability to dissolve many substances.",2
cal02,"If a company's revenue is growing but its profit margin is shrinking, is it becoming more or less profitable?",stable-baseline,0.0,1,c2_logical_coherence,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,"No constraints failed. The output is factually grounded, logically coherent, and acknowledges uncertainty appropriately.",real-judge-v1,"The answer depends on the rate of each change. Profit margin shrinking means each dollar of revenue generates less profit. If revenue grows faster than the margin shrinks, total profit can still rise. If revenue grows more slowly, total profit falls. Both outcomes are possible; neither can be determined from the trends alone without the actual figures.",1
cal02,"If a company's revenue is growing but its profit margin is shrinking, is it becoming more or less profitable?",calibration-flawed-c2,0.0,1,c2_logical_coherence,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.4,0.6,S2,"c2: Internal contradiction (simultaneously more and less profitable). c4: Overconfidence ('always', 'definitively proves'). c7: Fails to acknowledge uncertainty or limits. c10: Satisfies one constraint (c2) by violating another (c7).",real-judge-v1,"Growing revenue always means growing profitability, since more revenue means more money coming in to the company. However, a shrinking profit margin definitively proves the company is becoming less profitable. Therefore, the company is simultaneously becoming more profitable and less profitable at the same time, which is the correct answer.",1
cal02,"If a company's revenue is growing but its profit margin is shrinking, is it becoming more or less profitable?",stable-baseline,0.0,1,c2_logical_coherence,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,"No constraints failed. The output is factually grounded, logically coherent, and appropriately acknowledges uncertainty.",real-judge-v1,"The answer depends on the rate of each change. Profit margin shrinking means each dollar of revenue generates less profit. If revenue grows faster than the margin shrinks, total profit can still rise. If revenue grows more slowly, total profit falls. Both outcomes are possible; neither can be determined from the trends alone without the actual figures.",2
cal02,"If a company's revenue is growing but its profit margin is shrinking, is it becoming more or less profitable?",calibration-flawed-c2,0.0,1,c2_logical_coherence,1.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.2,0.8,S1,"c2 failed due to internal contradiction ('more profitable' and 'less profitable' asserted simultaneously). c4 partially failed due to overstatement ('always means', 'definitively proves'). c7 partially failed due to lack of acknowledgment of the contradiction's complexity.",real-judge-v1,"Growing revenue always means growing profitability, since more revenue means more money coming in to the company. However, a shrinking profit margin definitively proves the company is becoming less profitable. Therefore, the company is simultaneously becoming more profitable and less profitable at the same time, which is the correct answer.",2
cal03,Countries with higher chocolate consumption tend to produce more Nobel Prize winners. What explains this pattern?,stable-baseline,0.0,1,c3_causal_integrity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,S0,"No constraints failed. The output correctly identifies confounding variables as the likely explanation for the observed correlation, without making unsupported causal claims or factual errors.",real-judge-v1,"This correlation is likely explained by confounding variables. Wealthier countries tend to have higher chocolate consumption and also invest more in education and research institutions, which produce Nobel laureates. The chocolate-Nobel pattern is a widely cited example of a spurious correlation driven by a third variable — national wealth — rather than a direct causal relationship between the two.",1
cal03,Countries with higher chocolate consumption tend to produce more Nobel Prize winners. What explains this pattern?,calibration-flawed-c3,0.0,1,c3_causal_integrity,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.5,1.0,0.4,0.6,S2,"Failed constraints: c3 (unsupported cause-effect claim), c6 (actionable harmful advice), c7 (lack of uncertainty acknowledgment), c9 (lack of evidence grounding)",real-judge-v1,"Chocolate consumption directly causes improved cognitive performance and research output. The flavonoids in chocolate enhance brain function, which leads to higher rates of scientific achievement and Nobel Prize success. Countries should increase chocolate consumption as a policy measure to improve research output and eventually their Nobel Prize rates.",1
